"Liefertermin Dienstag 27.11.07",,,,
,,,,
"Anzahl","WHS - Profile ",,"Anzahl","WHS - Profile"
,,,,
1,4773,,2,1736
1,4675,,8,1670
1,4646,,1,1650
5,3896,,3,1500
4,3706,,3,1496
1,3700,,4,1473
1,3600,,4,1447
1,3570,,1,1398
3,3450,,2,1350
5,3286,,2,1346
5,3117,,2,1330
1,3100,,2,1200
4,3086,,3,1196
2,3076,,4,1086
1,2998,,1,1000
4,2926,,6,965
1,2820,,1,910
1,2716,,1,900
3,2700,,4,890
4,2484,,9,876
4,2456,,4,836
1,2400,,1,800
1,2390,,5,760
8,2376,,1,725
4,2373,,4,693
1,2350,,4,626
1,2296,,2,600
2,2250,,1,596
1,2236,,2,571
1,2096,,4,270
2,1946,,2,230
2,1826,,8,120
1,1810,,,
4,1806,,,
2,1800,,"186 St.",
1,1796,,,
